County,Sub_County,Total,Male,Female,Intersex,SQ.Km,Pop_density,
Machakos,MATUNGULU,161557,81145,80407,5,581,278
Machakos,MWALA,181896,90427,91466,3,1013,179
Machakos,YATTA,172583,85437,87144,2,1062,162
Makueni,KATHONZWENI,79780,39335,40442,3,881,91
Makueni,KIBWEZI,197000,98477,98517,6,3137,63
Makueni,KILUNGU,60952,29019,31932,1,154,395
Makueni,MAKINDU,84946,42204,42742,0,852,100
Makueni,MAKUENI,130375,65418,64955,2,609,214
Makueni,MBOONI EAST,97756,48152,49601,3,693,141
Makueni,MBOONI WEST,102594,49434,53159,1,271,379
Makueni,MUKAA,107549,54481,53068,0,804,134
Makueni,NZAUI,126701,63171,63526,4,775,163
Nyandarua,KINANGOP,111410,54727,56679,4,294,379
Nyandarua,NYANDARUA  SOUTH,93870,46157,47708,5,314,299
Nyandarua,MIRANGINE,67214,33447,33766,1,246,274
Nyandarua,KIPIPIRI,93855,46113,47740,2,456,206
Nyandarua,NYANDARUA  CENTRAL,75262,37329,37931,2,347,217
Nyandarua,NYANDARUA  WEST,97965,48752,49209,4,385,255
Nyandarua,NYANDARUA  NORTH,98698,48486,50210,2,528,187
Nyandarua,ABERDARE NATIONAL PARK,15,11,4,0,717,..
Nyeri,TETU,80453,39293,41155,5,217,372
Nyeri,KIENI EAST,110376,55360,55012,4,449,246
Nyeri,KIENI WEST,88525,43843,44677,5,518,171
Nyeri,MATHIRA EAST,99065,48070,50992,3,130,760
Nyeri,MATHIRA WEST,59895,29480,30412,3,162,369
Nyeri,NYERI SOUTH,91081,44115,46964,2,169,538
Nyeri,MUKURWE-INI,89137,43975,45156,6,179,498
Nyeri,NYERI CENTRAL,140338,69955,70380,3,168,837
Nyeri,MT. KENYA FOREST,188,123,65,0,611,..
Nyeri,ABERDARE FOREST,106,74,32,0,722,..
Kirinyaga,KIRINYAGA  CENTRAL,122740,60118,62617,5,153,800
Kirinyaga,KIRINYAGA EAST,135559,67037,68514,8,232,585
Kirinyaga,KIRINYAGA WEST,114660,56154,58502,4,208,552
Kirinyaga,MWEA EAST,132554,66432,66114,8,303,437
Kirinyaga,MWEA WEST,104828,52228,52594,6,239,438
Kirinyaga,MOUNT KENYA FOREST,70,42,28,0,343,..
Murang'a,MURANG'A EAST,110311,54665,55645,1,241,458
Murang'a,KANGEMA,80447,39582,40862,3,174,463
Murang'a,MATHIOYA,92814,45454,47359,1,178,523
Murang'a,KAHURO,88193,43352,44834,7,169,521
Murang'a,MURANG'A SOUTH,184824,91732,93087,5,457,405
Murang'a,GATANGA,187989,94437,93548,4,531,354
Murang'a,KIGUMO,136921,67989,68929,3,244,561
Murang'a,KANDARA,175098,86698,88393,7,235,746
