county_code,county,total,male,female,intersex,total_households,conventional_households,group_quaters,land_area_sq_km,persons_per_sq_km,total_rural,male_rural,female_rural,intersex_rural,total_households_rural,conventional_households_rural,group_quaters_rural,land_area_sq_km_rural,persons_per_sq_km_rural,total_urban,male_urban,female_urban,intersex_urban,total_households_urban,conventional_households_urban,group_quaters_urban,land_area_sq_km_urban,persons_per_sq_km_urban
37,KAKAMEGA,"1,867,579","897,133","970,406",4 0,"433,207","432,284",923,"3,017",619,682239,806682,875526,31,378386,377604,782,2899,580,185340,90451,94880,9,54821,54680,1 41,118,1575
38,VIHIGA,"590,013","283,678","306,323",1 2,"143,365","143,288",77,564,"1 ,047","531,629",255727,275892,10,127476,127400,76,537,991,58384,27951,30431,2,15889,15888,1,27,2152
39,BUNGOMA,"1,670,570","812,146","858,389",3 5,"358,796","357,714","1,082","3,024",552,480458,720235,760194,29,307981,307149,832,2912,508,190112,91911,98195,6,50815,50565,2 50,112,1699
40,BUSIA,"893,681","426,252","467,401",2 8,"198,152","197,944",208,"1,700",526,779928,371289,408611,28,167368,167184,184,1654,471,113753,54963,58790,-,30784,30760,2 4,45,2508
41,SIAYA,"993,183","471,669","521,496",1 8,"250,698","249,341","1,357","2,530",393,907766,431450,476301,15,225031,224404,627,2480,366,85417,40219,45195,3,25667,24937,7 30,50,1721
42,KISUMU,"1,155,574","560,942","594,609",2 3,"300,745","296,846","3,899","2,085",554,"714,668",344721,369939,8,169013,168796,217,1947,367,440906,216221,224670,1 5,131732,128050,3682,139,3177
43,HOMA BAY,"1,131,950","539,560","592,367",2 3,"262,036","260,290","1,746","3,153",359,18871,485991,532861,19,230012,229176,836,3111,327,113079,53569,59506,4,32024,31114,9 10,41,2754
44,MIGORI,"1,116,436","536,187","580,214",3 5,"240,168","238,133","2,035","2,613",427,"949,236",455887,493318,31,197268,195462,"1 ,806",2529,375,167200,80300,86896,4,42900,42671,2 29,84,1989
45,KISII,"1,266,860","605,784","661,038",3 8,"308,054","307,254",800,"1,323",957,115450,531860,583560,30,261837,261383,454,1284,869,151410,73924,77478,8,46217,45871,3 46,40,3811
46,NYAMIRA,"605,576","290,907","314,656",1 3,"150,669","150,499",170,897,675,558540,268241,290286,13,137621,137451,170,876,638,47036,22666,24370,-,13048,13048,-,21,2210
47,NAIROBI CITY,"4,397,073","2,192,452","2,204,376",245,"1,506,888","1,494,676","12,212",704,"6 ,247",,,,,,,,,,4397073,2192452,2204376,2 45,1506888,1494676,12212,704,6247
